question,ground_truth_sql,generated_sql,success,error,latency,method
Which employee has the most customers assigned?,"SELECT Employee.FirstName, Employee.LastName, COUNT(Customer.CustomerId) AS total FROM Employee JOIN Customer ON Employee.EmployeeId = Customer.SupportRepId GROUP BY Employee.EmployeeId ORDER BY total DESC LIMIT 1","SELECT e.FirstName, e.LastName FROM Employee AS e JOIN Customer AS c ON e.EmployeeId = c.SupportRepId GROUP BY e.EmployeeId ORDER BY COUNT(c.CustomerId) DESC LIMIT 1",True,,10.465,improved
List all tracks composed by Angus Young.,SELECT Name FROM Track WHERE Composer = 'Angus Young',SELECT T.Name FROM Track AS T WHERE T.Composer = 'Angus Young',True,,4.948,improved
Show the total sales per country.,"SELECT BillingCountry, SUM(Total) AS total_sales FROM Invoice GROUP BY BillingCountry ORDER BY total_sales DESC","SELECT
  BillingCountry,
  SUM(Total) AS TotalSales
FROM Invoice
GROUP BY
  BillingCountry;",True,,5.883,improved
How many invoices were made in each year?,"SELECT strftime('%Y', InvoiceDate) AS year, COUNT(*) AS total FROM Invoice GROUP BY year","SELECT strftime('%Y', InvoiceDate) AS InvoiceYear, COUNT(InvoiceId) AS NumberOfInvoices FROM Invoice GROUP BY InvoiceYear ORDER BY InvoiceYear",True,,8.106,improved
Find customers who spent more than 40 dollars in total.,"SELECT Customer.FirstName, Customer.LastName, SUM(Invoice.Total) AS total_spent FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId GROUP BY Customer.CustomerId HAVING total_spent > 40","SELECT
  c.FirstName,
  c.LastName
FROM Customer AS c
JOIN Invoice AS i
  ON c.CustomerId = i.CustomerId
GROUP BY
  c.CustomerId
HAVING
  SUM(i.Total) > 40;",True,,10.771,improved
List tracks that cost more than 1 dollar.,"SELECT Name, UnitPrice FROM Track WHERE UnitPrice > 1","SELECT TrackId, Name FROM Track WHERE UnitPrice > 1",True,,3.292,improved
Show albums that have more than 10 tracks.,"SELECT Album.Title, COUNT(Track.TrackId) AS track_count FROM Album JOIN Track ON Album.AlbumId = Track.AlbumId GROUP BY Album.AlbumId HAVING track_count > 10",SELECT T1.Title FROM Album AS T1 INNER JOIN Track AS T2 ON T1.AlbumId = T2.AlbumId GROUP BY T1.AlbumId HAVING COUNT(T2.TrackId) > 10,True,,10.694,improved
List all artists who have more than 5 albums.,"SELECT Artist.Name, COUNT(Album.AlbumId) AS album_count FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId GROUP BY Artist.ArtistId HAVING album_count > 5",SELECT A.Name FROM Artist AS A JOIN Album AS AL ON A.ArtistId = AL.ArtistId GROUP BY A.ArtistId HAVING COUNT(AL.AlbumId) > 5,True,,9.383,improved
What are the unique billing countries in invoices?,SELECT DISTINCT BillingCountry FROM Invoice ORDER BY BillingCountry,SELECT DISTINCT BillingCountry FROM Invoice,True,,2.169,improved
Show the top 10 customers by total spending.,"SELECT Customer.FirstName, Customer.LastName, SUM(Invoice.Total) AS total_spent FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId GROUP BY Customer.CustomerId ORDER BY total_spent DESC LIMIT 10","SELECT
  c.FirstName,
  c.LastName,
  SUM(il.UnitPrice * il.Quantity) AS TotalSpending
FROM Customer AS c
JOIN Invoice AS i
  ON c.CustomerId = i.CustomerId
JOIN InvoiceLine AS il
  ON i.InvoiceId = il.InvoiceId
GROUP BY
  c.CustomerId,
  c.FirstName,
  c.LastName
ORDER BY
  TotalSpending DESC
LIMIT 10",True,,17.58,improved
Find all tracks that have never been sold.,SELECT Track.Name FROM Track WHERE Track.TrackId NOT IN (SELECT TrackId FROM InvoiceLine),"SELECT T.TrackId, T.Name FROM Track AS T WHERE T.TrackId NOT IN (SELECT InvoiceLine.TrackId FROM InvoiceLine)",True,,6.39,improved
What is the most popular genre by number of tracks sold?,"SELECT Genre.Name, COUNT(InvoiceLine.TrackId) AS total_sold FROM InvoiceLine JOIN Track ON InvoiceLine.TrackId = Track.TrackId JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name ORDER BY total_sold DESC LIMIT 1","SELECT
  T.GenreId,
  COUNT(T.TrackId) AS TrackCount
FROM Track AS T
GROUP BY
  T.GenreId
ORDER BY
  TrackCount DESC
LIMIT 1",True,,9.176,improved
Show the total revenue per genre.,"SELECT Genre.Name, SUM(InvoiceLine.UnitPrice * InvoiceLine.Quantity) AS revenue FROM InvoiceLine JOIN Track ON InvoiceLine.TrackId = Track.TrackId JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name ORDER BY revenue DESC","SELECT g.Name, SUM(tl.UnitPrice * tl.Quantity) AS TotalRevenue FROM Genre AS g JOIN Track AS t ON g.GenreId = t.GenreId JOIN InvoiceLine AS tl ON t.TrackId = tl.TrackId GROUP BY g.Name ORDER BY TotalRevenue DESC",True,,14.217,improved
List all tracks from the album Nevermind.,SELECT Track.Name FROM Track JOIN Album ON Track.AlbumId = Album.AlbumId WHERE Album.Title = 'Nevermind',SELECT T.Name FROM Track AS T JOIN Album AS A ON T.AlbumId = A.AlbumId WHERE A.Title = 'Nevermind',True,,7.884,improved
Which artist has the most tracks?,"SELECT Artist.Name, COUNT(Track.TrackId) AS total_tracks FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId JOIN Track ON Album.AlbumId = Track.AlbumId GROUP BY Artist.ArtistId ORDER BY total_tracks DESC LIMIT 1","SELECT T1.ArtistId, COUNT(T1.TrackId) FROM Track AS T1 GROUP BY T1.ArtistId ORDER BY COUNT(T1.TrackId) DESC LIMIT 1",False,"Execution failed on sql 'SELECT T1.ArtistId, COUNT(T1.TrackId) FROM Track AS T1 GROUP BY T1.ArtistId ORDER BY COUNT(T1.TrackId) DESC LIMIT 1': (sqlite3.OperationalError) no such column: T1.ArtistId
[SQL: SELECT T1.ArtistId, COUNT(T1.TrackId) FROM Track AS T1 GROUP BY T1.ArtistId ORDER BY COUNT(T1.TrackId) DESC LIMIT 1]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",10.372,improved
Show all customers in alphabetical order by last name.,"SELECT FirstName, LastName FROM Customer ORDER BY LastName ASC",SELECT * FROM Customer ORDER BY LastName,True,,2.859,improved
List all employees hired after the year 2003.,"SELECT FirstName, LastName, HireDate FROM Employee WHERE strftime('%Y', HireDate) > '2003'","SELECT LastName, FirstName, Title, ReportsTo, BirthDate, HireDate FROM Employee WHERE HireDate > '2003-01-01'",True,,6.902,improved
What is the average track length in minutes?,SELECT AVG(Milliseconds) / 60000.0 AS avg_length_minutes FROM Track,SELECT CAST(AVG(Milliseconds / 1000.0) AS REAL) FROM Track,True,,4.376,improved
Which album has the most tracks?,"SELECT Album.Title, COUNT(Track.TrackId) AS track_count FROM Album JOIN Track ON Album.AlbumId = Track.AlbumId GROUP BY Album.AlbumId ORDER BY track_count DESC LIMIT 1","SELECT
  T1.Title
FROM Album AS T1
INNER JOIN Track AS T2
  ON T1.AlbumId = T2.AlbumId
GROUP BY
  T1.AlbumId
ORDER BY
  COUNT(T2.TrackId) DESC
LIMIT 1",True,,12.311,improved
Show all invoice line items for invoice ID 1.,SELECT * FROM InvoiceLine WHERE InvoiceId = 1,SELECT * FROM InvoiceLine WHERE InvoiceId = 1,True,,3.687,improved
List all tracks available in MP3 format.,SELECT Track.Name FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId WHERE MediaType.Name = 'MPEG audio file',SELECT DISTINCT T.Name FROM Track AS T INNER JOIN MediaType AS MT ON T.MediaTypeId = MT.MediaTypeId WHERE MT.Name = 'MP3',True,,8.186,improved
